Name,Code,Type,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,City_norm
FORMOSO,01756005,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-17.1833,-56.1333,1975/04/15,1980/12/31,6,49.0,0,100.0,CORUMBA
PORTO CONCEIÇÃO,01757001,2,66,POCONÉ,MATO GROSSO,ANA,-17.1433,-57.3594,1968/07/10,2019/09/30,52,43.0,14,73.1,POCONE
UBERABA,01757002,2,66,CÁCERES,MATO GROSSO,ANA,-17.2333,-57.7833,1966/09/01,1989/10/31,24,35.4,13,45.8,CACERES
BELA VISTA DO NORTE,01757003,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-17.6414,-57.6906,1995/08/01,2019/09/30,25,10.3,13,48.0,CORUMBA
CACHOEIRA POLVORA,01853002,2,66,COXIM,MATO GROSSO DO SUL,ANA,-18.1906,-54.2578,1971/02/05,2019/09/30,49,26.6,31,36.7,COXIM
COXIM,01854000,2,66,COXIM,MATO GROSSO DO SUL,INMET,-18.5042,-54.7347,1975/01/01,1994/01/31,20,37.2,9,55.0,COXIM
JAURU,01854003,2,66,COXIM,MATO GROSSO DO SUL,ANA,-18.6492,-54.3572,1971/02/03,2019/09/30,49,24.1,23,53.1,COXIM
COXIM,01854004,2,66,COXIM,MATO GROSSO DO SUL,ANA,-18.5042,-54.7556,1965/11/21,2019/09/30,55,37.1,27,50.9,COXIM
COXIM,01854005,2,66,COXIM,MATO GROSSO DO SUL,DNOS,-18.5,-54.9333,1965/11/21,1978/09/30,14,15.5,10,28.6,COXIM
FAZENDA SÃO GONÇALO (PARTIC.),01855000,2,66,COXIM,MATO GROSSO DO SUL,ANA,-18.35,-55.85,1955/01/01,1989/03/31,35,24.7,24,31.4,COXIM
PORTO ROLON,01856000,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-18.6,-56.8333,1968/06/08,1994/05/07,27,68.8,2,92.6,CORUMBA
NHECOLÂNDIA,01856001,2,66,CORUMBÁ,MATO GROSSO DO SUL,INMET,-18.9833,-56.65,1993/01/02,1998/12/31,6,0.3,5,16.7,CORUMBA
CORUMBÁ,01857000,2,66,CORUMBÁ,MATO GROSSO DO SUL,INMET,-18.0042,-57.6717,1961/08/01,2014/06/30,54,34.5,20,63.0,CORUMBA
AMOLAR,01857001,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-18.0403,-57.4908,1968/11/01,2019/09/30,52,32.3,20,61.5,CORUMBA
SÃO JOSÉ DO MATO GRANDE,01857002,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-18.2364,-56.9731,1968/06/06,2007/12/31,40,38.2,8,80.0,CORUMBA
SÃO FRANCISCO,01857003,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-18.3939,-57.3911,1970/01/21,2019/09/30,50,34.6,18,64.0,CORUMBA
FAZENDA SANTA HELENA,01857005,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-18.2969,-57.0156,2008/05/27,2015/11/29,8,1.5,4,50.0,CORUMBA
CASTELO,01857006,2,66,CORUMBÁ,MATO GROSSO DO SUL,DNOS,-18.6333,-57.6,1968/10/04,1996/12/31,29,88.2,0,100.0,CORUMBA
IGUAÇU,01955000,2,66,AQUIDAUANA,MATO GROSSO DO SUL,ANA,-19.9447,-55.7944,1975/01/26,2019/07/31,45,18.9,27,40.0,AQUIDAUANA
RETIRO ACORIZAL,01956000,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-19.9833,-56.6667,1970/01/01,1976/05/31,7,46.7,3,57.1,CORUMBA
PARAÍSO,01956001,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-19.1733,-56.7122,1970/05/30,2017/12/04,48,24.3,19,60.4,CORUMBA
ENTRE RIOS,01956003,2,66,AQUIDAUANA,MATO GROSSO DO SUL,ANA,-19.6967,-56.2828,1958/07/01,2019/09/30,62,24.7,34,45.2,AQUIDAUANA
CAMPO ALTO,01956004,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-19.0033,-56.0889,1961/01/01,2017/04/05,57,20.1,38,33.3,CORUMBA
BODOQUENA,01956005,2,66,MIRANDA,MATO GROSSO DO SUL,ANA,-19.8708,-56.9836,1954/01/01,2019/09/30,66,20.1,41,37.9,MIRANDA
PORTO CARREIRO (PARTICULAR),01956006,2,66,MIRANDA,MATO GROSSO DO SUL,ANA,-19.95,-56.8833,1964/04/14,1983/12/31,20,26.5,8,60.0,MIRANDA
SÃO SEBASTIÃO,01956008,2,66,AQUIDAUANA,MATO GROSSO DO SUL,ANA,-19.3592,-56.4092,1975/01/01,2017/12/26,43,24.2,22,48.8,AQUIDAUANA
CORUMBÁ,01957000,2,66,CORUMBÁ,MATO GROSSO DO SUL,INMET,-19.0,-57.65,1912/05/01,1998/11/30,87,32.7,45,48.3,CORUMBA
CORUMBÁ,01957001,2,66,CORUMBÁ,MATO GROSSO DO SUL,DEPV,-19.0,-57.6667,1976/01/01,1980/12/31,5,0.2,4,20.0,CORUMBA
CORUMBÁ (ETA),01957002,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-19.0058,-57.6019,1968/08/19,1999/01/31,32,47.1,10,68.8,CORUMBA
PORTO DA MANGA,01957003,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-19.2583,-57.2353,1970/07/14,2019/09/30,50,32.1,22,56.0,CORUMBA
FORTE COIMBRA,01957004,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-19.9186,-57.7894,1968/08/01,2019/09/30,52,25.1,30,42.3,CORUMBA
PIRAPUTANGA,01957005,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-19.3053,-57.5933,1970/10/01,2019/09/30,50,32.3,24,52.0,CORUMBA
PORTO ESPERANÇA,01957006,2,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-19.6008,-57.4381,1968/06/13,2019/09/30,52,24.2,28,46.2,CORUMBA
PIUVAL (PARTICULAR),01957007,2,66,CORUMBÁ,MATO GROSSO DO SUL,DNOS,-19.5667,-57.4,1970/10/01,1972/12/31,3,0.0,2,33.3,CORUMBA
MUTUM (PARTICULAR),01957008,2,66,CORUMBÁ,MATO GROSSO DO SUL,DNOS,-19.6,-57.1,1964/01/29,1970/09/30,7,8.4,3,57.1,CORUMBA
AQUIDAUANA,02055000,2,66,AQUIDAUANA,MATO GROSSO DO SUL,INMET,-20.4567,-55.6714,1913/03/09,1998/06/30,86,25.2,41,52.3,AQUIDAUANA
CIPOLÂNDIA,02055001,2,66,AQUIDAUANA,MATO GROSSO DO SUL,ANA,-20.1278,-55.3933,1969/11/03,2019/07/31,51,20.6,30,41.2,AQUIDAUANA
TABOCO,02055004,2,66,AQUIDAUANA,MATO GROSSO DO SUL,ANA,-20.0703,-55.6453,1973/01/25,2019/07/31,47,17.3,30,36.2,AQUIDAUANA
MIRANDA,02056001,2,66,MIRANDA,MATO GROSSO DO SUL,ANA,-20.2408,-56.3958,1965/11/17,2019/09/30,55,25.7,26,52.7,MIRANDA
TAPERA (PARTICULAR),02056004,2,66,MIRANDA,MATO GROSSO DO SUL,DNOS,-20.35,-56.7,1964/01/26,1971/09/30,8,2.2,4,50.0,MIRANDA
GUAICURUS,02056005,2,66,MIRANDA,MATO GROSSO DO SUL,ANA,-20.1019,-56.7953,1926/10/01,2019/09/30,94,20.2,61,35.1,MIRANDA
MIRANDA,02056006,2,66,MIRANDA,MATO GROSSO DO SUL,ANA,-20.2333,-56.3833,1965/11/17,1989/11/30,25,34.6,13,48.0,MIRANDA
SANTA ROSA,02056007,2,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.0319,-56.9881,1982/02/01,2019/07/31,38,28.9,12,68.4,PORTO MURTINHO
TARUMÃ,02057000,2,67,CORUMBÁ,MATO GROSSO DO SUL,ANA,-20.2908,-57.6478,1971/04/05,2017/12/31,47,39.3,17,63.8,CORUMBA
SÃO SIMÃO,02057001,2,67,CORUMBÁ,MATO GROSSO DO SUL,ANA,-20.0497,-57.3214,1977/03/01,2019/09/30,43,21.8,26,39.5,CORUMBA
BAIA NEGRA,02058001,2,67,CORUMBÁ,MATO GROSSO DO SUL,ANA,-20.2294,-58.1667,1980/11/20,2008/12/31,29,43.0,11,62.1,CORUMBA
PORTO MURTINHO,02157000,2,67,PORTO MURTINHO,MATO GROSSO DO SUL,INMET,-21.7,-57.8833,1977/09/01,1993/07/31,17,47.1,2,88.2,PORTO MURTINHO
ESPERANÇA,02157002,2,67,PORTO MURTINHO,MATO GROSSO DO SUL,DNOS,-20.7833,-57.0333,1971/07/05,1972/12/31,2,27.3,0,100.0,PORTO MURTINHO
SANTA OTÍLIA,02157003,2,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.1919,-57.0392,1970/10/13,2019/07/31,50,26.9,23,54.0,PORTO MURTINHO
PORTO MURTINHO,02157004,2,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.7014,-57.8917,1966/01/01,2019/10/31,54,30.3,23,57.4,PORTO MURTINHO
MARABÁ,02157005,2,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.6889,-57.3597,1976/01/01,2019/07/31,44,21.1,21,52.3,PORTO MURTINHO
BARRANCO BRANCO,02157006,2,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.0989,-57.8447,1980/05/18,2019/02/28,40,36.6,12,70.0,PORTO MURTINHO
