Name,Code,Type,DrainageArea,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,City_norm
MIRANDA,66910000,1,15000.0,66,MIRANDA,MATO GROSSO DO SUL,ANA,-20.2408,-56.3992,1965/10/27,2019/06/30,55,5.5,44,20.0,MIRANDA
TIÇÃO DE FOGO,66920000,1,18500.0,66,MIRANDA,MATO GROSSO DO SUL,ANA,-19.9239,-56.8039,1968/10/01,1988/09/06,21,10.5,12,42.9,MIRANDA
AQUIDAUANA,66945000,1,15700.0,66,AQUIDAUANA,MATO GROSSO DO SUL,ANA,-20.4783,-55.8014,1968/01/13,2019/10/31,52,4.5,45,13.5,AQUIDAUANA
PORTO ESPERANÇA,66960008,1,371000.0,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-19.6006,-57.4372,1963/12/19,2014/11/30,52,0.0,50,3.8,CORUMBA
FORTE COIMBRA,66970000,1,372000.0,66,CORUMBÁ,MATO GROSSO DO SUL,ANA,-19.9203,-57.7917,1969/01/01,1981/11/30,13,0.0,12,7.7,CORUMBA
BAIA NEGRA,67006000,1,516000.0,67,CORUMBÁ,MATO GROSSO DO SUL,ANA,-20.2294,-58.1667,1976/09/01,1996/12/31,21,24.7,14,33.3,CORUMBA
RETIRO ALEGRIA,67025000,1,938.0,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.2017,-57.1853,1970/10/14,1996/12/31,27,24.1,19,29.6,PORTO MURTINHO
BARRANCO BRANCO,67030000,1,546000.0,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.0986,-57.8442,1965/06/01,2014/12/29,50,0.0,48,4.0,PORTO MURTINHO
FECHO DOS MORROS,67050000,1,565000.0,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.4361,-57.9189,1965/11/03,1985/02/28,21,10.4,16,23.8,PORTO MURTINHO
PORTO MURTINHO,67100000,1,576000.0,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.7003,-57.8911,1939/01/01,2019/07/31,81,2.1,76,6.2,PORTO MURTINHO
BAIA GRANDE,67175000,1,2610.0,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.9411,-57.2547,1972/08/01,1995/12/31,24,14.0,19,20.8,PORTO MURTINHO
FAZENDA ESPERANÇA,67176000,1,2930.0,67,PORTO MURTINHO,MATO GROSSO DO SUL,ANA,-21.9697,-57.3772,1996/09/06,2019/07/31,24,2.9,18,25.0,PORTO MURTINHO
